topic	'gravy'	'trainer'	'candle'	'bus'	'tree'	'goalie'	'singer'	'woman'	'touched'	'stretched'	'lit'	'hit'	'crushed'	'kicked'	'kissed'	'consoled'	'broccoli'	'dancer'	'match'	'truck'	'car'	'referee'	'guitarist'	'man'
220	0	0	0	0	56	0	0	63	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	528
221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
223	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	76	0	0	0	0	0
224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1957
226	0	0	0	0	0	0	0	0	0	199	0	50	0	0	0	0	0	0	153	0	0	0	0	0
227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270
228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
229	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	869
231	0	170	0	0	0	0	0	344	0	0	137	0	0	0	0	0	0	0	0	0	0	8	0	370
232	0	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
233	0	0	0	0	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0
236	0	0	0	0	0	0	0	0	0	0	52	3588	0	0	0	0	0	0	0	0	0	0	0	0
237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
238	0	79	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	19	0	0
239	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
241	0	0	0	0	690	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0
242	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
244	0	0	0	0	0	0	7186	360	0	0	0	11283	0	0	0	0	0	0	0	0	0	0	0	0
245	0	0	0	0	0	0	0	0	375	0	0	5181	0	913	0	80	0	0	0	0	0	0	0	0
246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
